transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,2,2950,2/25/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
2,3,3120,2/26/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701
3,37,402,2/27/2017,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
4,88,3135,2/28/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145
5,78,787,3/1/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226
6,25,2339,3/2/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031
7,22,1542,3/3/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
8,15,2459,3/4/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
9,67,1305,3/5/2017,0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455
10,12,3262,3/6/2017,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
11,5,1986,3/7/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784
12,61,2783,3/8/2017,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172
13,35,1243,3/9/2017,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
14,16,2717,3/10/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586
15,12,247,3/11/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
16,3,2961,3/12/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873
17,79,2426,3/13/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206
18,33,1842,3/14/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
19,54,2268,3/15/2017,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
20,25,3002,3/16/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337
21,27,1582,3/17/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
22,37,595,3/18/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
23,37,2001,3/19/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145
24,82,515,3/20/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
25,89,2822,3/21/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079
26,64,2596,3/22/2017,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145
27,64,2666,3/23/2017,1,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047
28,19,76,3/24/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560
29,72,3368,3/25/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
30,91,1173,3/26/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922
31,88,2810,3/27/2017,1,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539
32,1,3214,3/28/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
33,25,1272,3/29/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
34,99,2003,3/30/2017,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
35,0,2171,3/31/2017,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
36,92,3356,4/1/2017,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874
37,14,1040,4/2/2017,0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996
38,2,2916,4/3/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549
39,12,427,4/4/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693
40,0,2448,4/5/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
41,44,2570,4/6/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668
42,79,3398,4/7/2017,0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533
43,76,488,4/8/2017,0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922
44,46,165,4/9/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668
45,55,2787,4/10/2017,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172
46,66,3053,4/11/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560
47,35,475,4/12/2017,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
48,81,1305,4/13/2017,1,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009
49,86,1251,4/14/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206
50,32,3103,4/15/2017,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337
